time_s,train_id,track,position_m,p_req_W
0.0,Train1,1,100.0,0.0
1.0,Train1,1,100.5,100000.0
2.0,Train1,1,102.00000000000001,200000.0
3.0,Train1,1,104.50000000000003,300000.0
4.0,Train1,1,108.00000000000001,400000.0
5.0,Train1,1,112.50000000000001,500000.0
6.0,Train1,1,118.00000000000003,600000.0
7.0,Train1,1,124.50000000000003,700000.0
8.0,Train1,1,132.00000000000003,800000.0
9.0,Train1,1,140.50000000000003,900000.0
10.0,Train1,1,150.00000000000006,1000000.0
11.0,Train1,1,160.50000000000006,1100000.0
12.0,Train1,1,172.00000000000006,1200000.0
13.0,Train1,1,184.50000000000009,1300000.0
14.0,Train1,1,198.00000000000009,1400000.0
15.0,Train1,1,212.5000000000001,1500000.0
16.0,Train1,1,228.00000000000009,1600000.0
17.0,Train1,1,244.50000000000014,1700000.0
18.0,Train1,1,262.0000000000001,1800000.0
19.0,Train1,1,280.5000000000001,1900000.0
20.0,Train1,1,300.00000000000017,2000000.0
21.0,Train1,1,320.50000000000017,2100000.0
22.0,Train1,1,342.00000000000017,2200000.0
23.0,Train1,1,364.5000000000002,2300000.0
24.0,Train1,1,388.0000000000002,2400000.0
25.0,Train1,1,412.5000000000002,0.0
26.0,Train1,1,437.5000000000003,0.0
27.0,Train1,1,462.5000000000003,0.0
28.0,Train1,1,487.50000000000034,0.0
29.0,Train1,1,512.5000000000003,0.0
30.0,Train1,1,537.5000000000003,0.0
31.0,Train1,1,562.5000000000003,0.0
32.0,Train1,1,587.5000000000003,0.0
33.0,Train1,1,612.5000000000003,0.0
34.0,Train1,1,637.5000000000005,0.0
35.0,Train1,1,662.5000000000005,0.0
36.0,Train1,1,687.5000000000005,0.0
37.0,Train1,1,712.5000000000005,0.0
38.0,Train1,1,737.5000000000005,0.0
39.0,Train1,1,762.5000000000005,0.0
40.0,Train1,1,787.5000000000006,0.0
41.0,Train1,1,812.5000000000006,0.0
42.0,Train1,1,837.5000000000006,0.0
43.0,Train1,1,862.5000000000006,0.0
44.0,Train1,1,887.5000000000005,0.0
45.0,Train1,1,912.5000000000008,0.0
46.0,Train1,1,937.5000000000007,0.0
47.0,Train1,1,962.5000000000008,0.0
48.0,Train1,1,987.5000000000007,0.0
49.0,Train1,1,1012.5000000000006,0.0
50.0,Train1,1,1037.5000000000005,0.0
51.0,Train1,1,1062.5000000000005,0.0
52.0,Train1,1,1087.5000000000005,0.0
53.0,Train1,1,1112.5000000000002,0.0
54.0,Train1,1,1137.5000000000002,0.0
55.0,Train1,1,1162.5,0.0
56.0,Train1,1,1187.5,0.0
57.0,Train1,1,1212.5,0.0
58.0,Train1,1,1237.4999999999998,0.0
59.0,Train1,1,1262.4999999999998,0.0
60.0,Train1,1,1287.4999999999995,0.0
61.0,Train1,1,1312.4999999999995,0.0
62.0,Train1,1,1337.4999999999995,0.0
63.0,Train1,1,1362.4999999999993,0.0
64.0,Train1,1,1387.4999999999993,0.0
65.0,Train1,1,1412.499999999999,0.0
66.0,Train1,1,1437.499999999999,0.0
67.0,Train1,1,1462.499999999999,0.0
68.0,Train1,1,1487.4999999999989,0.0
69.0,Train1,1,1512.4999999999989,0.0
70.0,Train1,1,1537.4999999999989,0.0
71.0,Train1,1,1562.4999999999989,0.0
72.0,Train1,1,1587.4999999999986,0.0
73.0,Train1,1,1612.4999999999982,0.0
74.0,Train1,1,1637.4999999999984,0.0
75.0,Train1,1,1662.4999999999984,0.0
76.0,Train1,1,1687.4999999999984,0.0
77.0,Train1,1,1712.4999999999982,0.0
78.0,Train1,1,1737.4999999999977,0.0
79.0,Train1,1,1762.4999999999982,-2500000.0
80.0,Train1,1,1786.999999999998,-2400000.0
81.0,Train1,1,1810.4999999999982,-2300000.0
82.0,Train1,1,1832.999999999998,-2200000.0
83.0,Train1,1,1854.499999999998,-2100000.0
84.0,Train1,1,1874.999999999998,-2000000.0
85.0,Train1,1,1894.4999999999982,-1900000.0
86.0,Train1,1,1912.9999999999977,-1800000.0
87.0,Train1,1,1930.4999999999982,-1700000.0
88.0,Train1,1,1946.999999999998,-1600000.0
89.0,Train1,1,1962.499999999998,-1500000.0
90.0,Train1,1,1976.9999999999982,-1400000.0
91.0,Train1,1,1990.4999999999982,-1300000.0
92.0,Train1,1,2002.9999999999986,-1200000.0
93.0,Train1,1,2014.4999999999982,-1100000.0
94.0,Train1,1,2024.9999999999982,-1000000.0
95.0,Train1,1,2034.4999999999982,-900000.0
96.0,Train1,1,2042.9999999999984,-800000.0
97.0,Train1,1,2050.499999999998,-700000.0
98.0,Train1,1,2056.999999999998,-600000.0
99.0,Train1,1,2062.499999999998,-500000.0
100.0,Train1,1,2066.999999999998,-400000.0
101.0,Train1,1,2070.499999999998,-300000.0
102.0,Train1,1,2072.999999999998,-200000.0
103.0,Train1,1,2074.499999999998,-100000.0
