time_s,project,scenario,base_hash,object_type,object_id,signal,value,unit,stage,iter,note
0.0,1S5T,application,hash,Train,Train4,mot_W,0.0,W,TA,,
0.0,1S5T,application,hash,Train,Train5,mot_W,0.0,W,TA,,
0.0,1S5T,application,hash,Train,Train5,brk_W,0.0,W,TA,,
0.0,1S5T,application,hash,Train,Train3,mot_W,0.0,W,TA,,
0.0,1S5T,application,hash,Train,Train3,brk_W,0.0,W,TA,,
0.0,1S5T,application,hash,Train,Train3,aux_W,0.0,W,TA,,
0.0,1S5T,application,hash,Train,Train2,mot_W,0.0,W,TA,,
0.0,1S5T,application,hash,Train,Train2,brk_W,0.0,W,TA,,
0.0,1S5T,application,hash,Train,Train2,aux_W,0.0,W,TA,,
0.0,1S5T,application,hash,Train,Train2,pos_m,0.0,m,TA,,
0.0,1S5T,application,hash,Train,Train3,pos_m,0.0,m,TA,,
0.0,1S5T,application,hash,Train,Train3,speed_mps,0.0,m/s,TA,,
0.0,1S5T,application,hash,Train,Train5,aux_W,0.0,W,TA,,
0.0,1S5T,application,hash,Train,Train5,pos_m,0.0,m,TA,,
0.0,1S5T,application,hash,Train,Train5,speed_mps,0.0,m/s,TA,,
0.0,1S5T,application,hash,Train,Train4,brk_W,0.0,W,TA,,
0.0,1S5T,application,hash,Train,Train4,aux_W,0.0,W,TA,,
0.0,1S5T,application,hash,Train,Train4,pos_m,0.0,m,TA,,
0.0,1S5T,application,hash,Train,Train4,speed_mps,0.0,m/s,TA,,
0.0,1S5T,application,hash,Train,Train2,speed_mps,0.0,m/s,TA,,
0.0,1S5T,application,hash,Train,Train1,mot_W,0.0,W,TA,,
0.0,1S5T,application,hash,Train,Train1,brk_W,0.0,W,TA,,
0.0,1S5T,application,hash,Train,Train1,aux_W,0.0,W,TA,,
0.0,1S5T,application,hash,Train,Train1,pos_m,100.0,m,TA,,
0.0,1S5T,application,hash,Train,Train1,speed_mps,0.0,m/s,TA,,
0.0,1S5T,application,hash,Train,Train1,brk_prof_kW,0.0,kW,GMA-prof,,
0.0,1S5T,application,hash,Train,Train1,req_trac_W,0.0,W,GMA-A,,
0.0,1S5T,application,hash,Train,Train1,alpha_derate,0.0,,SOLVER,0,
0.0,1S5T,application,hash,Train,Train1,V_node_V,0.0,V,SOLVER,0,
0.0,1S5T,application,hash,Train,Train1,alpha_derate,1.0,,SOLVER,1,
0.0,1S5T,application,hash,Train,Train1,V_node_V,899.9999999999997,V,SOLVER,1,
0.0,1S5T,application,hash,Node,S1,V_V,900.0,V,NET,,
0.0,1S5T,application,hash,Node,S1,I_A,-9000.0,A,NET,,
0.0,1S5T,application,hash,Node,S1,P_W,-8100000.0,W,NET,,
0.0,1S5T,application,hash,Node,S2,V_V,899.9999999999997,V,NET,,
0.0,1S5T,application,hash,Node,S2,I_A,-0.0,A,NET,,
0.0,1S5T,application,hash,Node,S2,P_W,-0.0,W,NET,,
0.0,1S5T,application,hash,Node,S3,V_V,899.9999999999997,V,NET,,
0.0,1S5T,application,hash,Node,S3,I_A,-0.0,A,NET,,
0.0,1S5T,application,hash,Node,S3,P_W,-0.0,W,NET,,
0.0,1S5T,application,hash,Sub,SS0,V_V,900.0,V,NET,,
0.0,1S5T,application,hash,Sub,SS0,I_A,0.0,A,NET,,
0.0,1S5T,application,hash,Sub,SS0,P_net_W,0.0,W,NET,,
0.0,1S5T,application,hash,Sub,SS0,P_loss_W,0.0,W,NET,,
0.0,1S5T,application,hash,Sub,SS1,V_V,899.9999999999997,V,NET,,
0.0,1S5T,application,hash,Sub,SS1,I_A,3.410605131648481E-12,A,NET,,
0.0,1S5T,application,hash,Sub,SS1,P_net_W,3.0695446184836316E-9,W,NET,,
0.0,1S5T,application,hash,Sub,SS1,P_loss_W,1.1632227364026952E-24,W,NET,,
0.0,1S5T,application,hash,Sub,SS2,V_V,899.9999999999997,V,NET,,
0.0,1S5T,application,hash,Sub,SS2,I_A,3.410605131648481E-12,A,NET,,
0.0,1S5T,application,hash,Sub,SS2,P_net_W,3.0695446184836316E-9,W,NET,,
0.0,1S5T,application,hash,Sub,SS2,P_loss_W,1.1632227364026952E-24,W,NET,,
0.0,1S5T,application,hash,Train,Train1,V_V,0.0,V,NET,0,
0.0,1S5T,application,hash,Train,Train1,P_net_W,0.0,W,NET,0,
0.0,1S5T,application,hash,Train,Train1,V_V,0.0,V,NET,0,
1.0,1S5T,application,hash,Train,Train2,mot_W,0.0,W,TA,,
1.0,1S5T,application,hash,Train,Train2,brk_W,0.0,W,TA,,
1.0,1S5T,application,hash,Train,Train2,aux_W,0.0,W,TA,,
1.0,1S5T,application,hash,Train,Train2,pos_m,0.0,m,TA,,
1.0,1S5T,application,hash,Train,Train2,speed_mps,0.0,m/s,TA,,
1.0,1S5T,application,hash,Train,Train3,mot_W,0.0,W,TA,,
1.0,1S5T,application,hash,Train,Train3,brk_W,0.0,W,TA,,
1.0,1S5T,application,hash,Train,Train3,aux_W,0.0,W,TA,,
1.0,1S5T,application,hash,Train,Train3,pos_m,0.0,m,TA,,
1.0,1S5T,application,hash,Train,Train3,speed_mps,0.0,m/s,TA,,
1.0,1S5T,application,hash,Train,Train5,mot_W,0.0,W,TA,,
1.0,1S5T,application,hash,Train,Train5,brk_W,0.0,W,TA,,
1.0,1S5T,application,hash,Train,Train5,aux_W,0.0,W,TA,,
1.0,1S5T,application,hash,Train,Train5,pos_m,0.0,m,TA,,
1.0,1S5T,application,hash,Train,Train5,speed_mps,0.0,m/s,TA,,
1.0,1S5T,application,hash,Train,Train1,mot_W,100000.0,W,TA,,
1.0,1S5T,application,hash,Train,Train1,brk_W,0.0,W,TA,,
1.0,1S5T,application,hash,Train,Train1,aux_W,0.0,W,TA,,
1.0,1S5T,application,hash,Train,Train1,pos_m,100.0,m,TA,,
1.0,1S5T,application,hash,Train,Train1,speed_mps,3.6,m/s,TA,,
1.0,1S5T,application,hash,Train,Train4,mot_W,0.0,W,TA,,
1.0,1S5T,application,hash,Train,Train4,brk_W,0.0,W,TA,,
1.0,1S5T,application,hash,Train,Train4,aux_W,0.0,W,TA,,
1.0,1S5T,application,hash,Train,Train4,pos_m,0.0,m,TA,,
1.0,1S5T,application,hash,Train,Train4,speed_mps,0.0,m/s,TA,,
-10.0,1S5T,application,hash,Train,Train2,pos_node_abs_m,0.0,m,GMA-abs,,
-10.0,1S5T,application,hash,Train,Train2,pos_node_m,0.0,m,GMA-pos,,
-30.0,1S5T,application,hash,Train,Train4,pos_node_abs_m,0.0,m,GMA-abs,,
-30.0,1S5T,application,hash,Train,Train4,pos_node_m,0.0,m,GMA-pos,,
-20.0,1S5T,application,hash,Train,Train3,pos_node_abs_m,0.0,m,GMA-abs,,
-20.0,1S5T,application,hash,Train,Train3,pos_node_m,0.0,m,GMA-pos,,
-40.0,1S5T,application,hash,Train,Train5,pos_node_abs_m,0.0,m,GMA-abs,,
-40.0,1S5T,application,hash,Train,Train5,pos_node_m,0.0,m,GMA-pos,,
0.0,1S5T,application,hash,Train,Train1,pos_node_abs_m,100.0,m,GMA-abs,,
0.0,1S5T,application,hash,Train,Train1,pos_node_m,100.0,m,GMA-pos,,
1.0,1S5T,application,hash,Train,Train1,brk_prof_kW,0.0,kW,GMA-prof,,
1.0,1S5T,application,hash,Train,Train1,req_trac_W,0.0,W,GMA-A,,
1.0,1S5T,application,hash,Train,Train2,brk_prof_kW,0.0,kW,GMA-prof,,
1.0,1S5T,application,hash,Train,Train2,req_trac_W,0.0,W,GMA-A,,
1.0,1S5T,application,hash,Train,Train4,brk_prof_kW,0.0,kW,GMA-prof,,
1.0,1S5T,application,hash,Train,Train4,req_trac_W,0.0,W,GMA-A,,
1.0,1S5T,application,hash,Train,Train3,brk_prof_kW,0.0,kW,GMA-prof,,
1.0,1S5T,application,hash,Train,Train3,req_trac_W,0.0,W,GMA-A,,
1.0,1S5T,application,hash,Train,Train5,brk_prof_kW,0.0,kW,GMA-prof,,
1.0,1S5T,application,hash,Train,Train5,req_trac_W,0.0,W,GMA-A,,
1.0,1S5T,application,hash,Train,Train1,alpha_derate,0.0,,SOLVER,0,
1.0,1S5T,application,hash,Train,Train1,V_node_V,0.0,V,SOLVER,0,
1.0,1S5T,application,hash,Train,Train2,alpha_derate,0.0,,SOLVER,0,
1.0,1S5T,application,hash,Train,Train2,V_node_V,0.0,V,SOLVER,0,
1.0,1S5T,application,hash,Train,Train4,alpha_derate,0.0,,SOLVER,0,
1.0,1S5T,application,hash,Train,Train4,V_node_V,0.0,V,SOLVER,0,
1.0,1S5T,application,hash,Train,Train3,alpha_derate,0.0,,SOLVER,0,
1.0,1S5T,application,hash,Train,Train3,V_node_V,0.0,V,SOLVER,0,
1.0,1S5T,application,hash,Train,Train5,alpha_derate,0.0,,SOLVER,0,
1.0,1S5T,application,hash,Train,Train5,V_node_V,0.0,V,SOLVER,0,
1.0,1S5T,application,hash,Train,Train1,alpha_derate,1.0,,SOLVER,1,
1.0,1S5T,application,hash,Train,Train1,V_node_V,900.0,V,SOLVER,1,
1.0,1S5T,application,hash,Train,Train2,alpha_derate,1.0,,SOLVER,1,
1.0,1S5T,application,hash,Train,Train2,V_node_V,900.0,V,SOLVER,1,
1.0,1S5T,application,hash,Train,Train4,alpha_derate,1.0,,SOLVER,1,
1.0,1S5T,application,hash,Train,Train4,V_node_V,900.0,V,SOLVER,1,
1.0,1S5T,application,hash,Train,Train3,alpha_derate,1.0,,SOLVER,1,
1.0,1S5T,application,hash,Train,Train3,V_node_V,900.0,V,SOLVER,1,
1.0,1S5T,application,hash,Train,Train5,alpha_derate,1.0,,SOLVER,1,
1.0,1S5T,application,hash,Train,Train5,V_node_V,900.0,V,SOLVER,1,
1.0,1S5T,application,hash,Node,S1,V_V,900.0,V,NET,,
